System_Name,Seq,Table_Name,Table_Desc
AGR,1,"AGR,_ITEM",同意函項目基本資料檔
AGR,4,AGR_FACTORY,同意函製造廠資料檔
BABE,1,BABE_BASE,BABE基本資料檔
BABE,aa,test,test
BABE,2,BABE_FACTORY,BABE產品資料製造廠資料檔
BABE,3,BABE_INGREDIENTS,BABE產品資料成分資料檔
BABE,4,BABE_PRESCRIPTION,BABE產品資料處方資料檔
CCC,,CCC_COMPARE_BASE,單證比對比對結果主檔
CCC,,CCC_COMPARE_DETAIL,單證比對比對結果項次檔
CCC,,CCC_COMPARE_ITEM,自動比對項目設定檔
CCC,,CCC_DECL_BASE,單證比對報單主檔
CCC,,CCC_DECL_DETAIL,單證比對報單項次檔
CCC,,CCC_DECL_LOG,單證比對報單狀態檔
COM,1,COM_APPLICANT,化粧品產品屬性申請商檔
COM,,test,test
COM,,123,123
COM,2,COM_BASE,化粧品產品屬性主檔
COM,3,COM_ITEM,化粧品產品屬性項次檔
COM,4,COM_MOD_ITEM,化粧品產品屬性更正紀錄檔
LIC,3,LIC_FACTORY,許可證製造業者檔
