System_Name,Seq,Table_Name,Table_Desc
,1,AA_AGR_BASE_Doctor_ID_encrypted,
,2,AGR_ADJUST_AMT_LOG,
,3,AGR_APPLICANT,
,4,AGR_APPLICANT_TMP,
,5,AGR_BASE,
,6,AGR_CCC_CODE,
,7,AGR_CHG_APPLICANT,
,8,AGR_CHG_BASE,
,9,AGR_CHG_CCC_CODE,
,10,AGR_CHG_DOC,
,11,AGR_CHG_FACTORY,
,12,AGR_CHG_ITEM,
,13,AGR_CHG_ITEM_FILE,
,14,AGR_CHG_LICENSE,
,15,AGR_CHG_PORT,
,16,AGR_EXTEND_RECORD,
,17,AGR_FACTORY,
,18,AGR_FINAL_SITUATION,
,19,AGR_ITEM,
,20,AGR_ITEM_FILE,
,21,AGR_LICENSE,
,22,AGR_MOD_ITEM,
,23,AGR_MOD_LOG,
,24,AGR_PORT,
,25,AGR_RECORD,
,26,AGR_RECORD_LICENSE,
,27,AGR_REJECTED_LOG,
,28,AGR_STATUS_CHANGE,
,29,AGR_UNREGISTER_RECORD,
,30,BABE_BASE,
,31,BABE_EXEC_HOSPITAL,
,32,BABE_FACTORY,
,33,BABE_FILE,
,34,BABE_INGREDIENTS,
,35,BABE_INGREDIENTS_FACTORY,
,36,BABE_LICENSE,
,37,BABE_PRESCRIPTION,
,38,BABE_REPORT,
,39,BABE_REPORT_FILE,
,40,CCC_CERT_BLACK_LIST,
,41,CCC_CERT_BLACK_LIST_BAK,
,42,CCC_COMPARE_BASE,
,43,CCC_COMPARE_DETAIL,
,44,CCC_COMPARE_ITEM,
,45,CCC_DECL_BASE,
,46,CCC_DECL_DETAIL,
,47,CCC_DECL_LOG,
,48,CCC_DECL_MAKE_NO,
,49,CCC_DECL_MAKE_NO_LOG,
,50,CCC_DHF0004,
,51,CCC_DHM9_CERT,
,52,CCC_IFI_CCC_CODE,
,53,CCC_INCREASE,
,54,CCC_INCREASE_DELETE_LOG,
,55,CCC_INSPECTION_CHECK,
,56,CCC_NOT_IFI,
,57,CCC_QA,
,58,CCC_QA_FILE,
,59,CCC_QA_ITEM,
,60,CCC_QA_JUSTICE,
,61,CCC_SPECIAL_COMPARE,
